²ÜÓÓÕþ	80	90.0	170.0
²ÜÕêÜç	20	87.2	107.2
²ÜÏÜ»ª	22	67.6	89.6
²Üº­Ëª	20	81.2	101.2
²Ü·¬Êí	20	82.7	102.7
²ÜÒöº­	60	87.2	147.2
²ÜÆæ¶°	21	75.5	96.5
²ÜÐ¡Ê¤	92	95.3	187.3
²ÜÔÆ´ß	64	86.5	150.5
²ÜÕýÓñ	62	72.8	134.8
²ÜÐÇ³¿	88	70.3	158.3
²Ü³®º­	60	81.4	141.4
²ÜÒã»ª	22	85.8	107.8
²ÜÖÓôË	90.5	88.4	178.9
²ÜÇìÍú	62	91.2	153.2
²ÜÐÂºê	60	75.5	135.5
²ÜÎýÁÜ	64.5	72.6	137.1
²ÜÃÀÈ»	60	87.2	147.2
²ÜÎ¢Î¢	24	84.4	108.4
²ÜË¼»Ý	60	87.2	147.2
²Ü¼ÌÈÊ	60	76.4	136.4
²Ü¼¦ÖÐ	21	78.7	99.7
²Üçæç²	20	74.1	94.1
²Ü²©ØÅ	24	76.8	100.8
²Ü½õÔ½	99.5	72.6	172.1
²Ü½õÓ®	76	71.2	147.2
²ÜÃÀÈ½	20	75.9	95.9
²Ü·é²©	20	94.5	114.5
²ÜÇìºÕ	22	85.8	107.8
²ÜÕ½·æ	90	82.1	172.1
²ÜÎýÁè	76	72.7	148.7
²ÜÃÀÈº	20	81.6	101.6
²ÜÞÄÈ»	60	87.2	147.2
²ÜÔÆ´º	60	88.3	148.3
²ÜÐÄÓê	60	74.9	134.9
²ÜÐÄÓ±	60	67.9	127.9
²ÜÓêÁå	61	88.4	149.4
²Üî£Å¡	88	90.8	178.8
²ÜÐÄÓî	95	65.0	160.0
²ÜØ®å·	60	76.7	136.7
²ÜÕñÉý	74	94.2	168.2
²ÜÓÐ¸³	62	89.7	151.7
²Ü¼ÌÈ½	24	82.1	106.1
²Üë²Ýæ	64	80.0	144.0
²ÜÖÇ½Ü	20	81.4	101.4
²ÜÇìº­	24.5	84.7	109.2
²Ü¼ÌÕ÷	22.5	77.8	100.3
²Ü¼ÌÈ»	60	83.3	143.3
²Üî¸Â¥	64	84.3	148.3
²Ü¿ËÈ»	61	79.7	140.7
²Ü°Ø«h	62.5	76.6	139.1
²Ü¾¢Æå	20	87.2	107.2
²ÜÃÀÈð	60	79.7	139.7
²Ü°¬Ïª	61	83.9	144.9
²Ü½õÉ½	97	73.6	170.6
²Ü¼ÌÕù	22.5	77.8	100.3
²ÜÇåÑÅ	20	81.4	101.4
²Ü¶«Áø	23.5	79.1	102.6
²ÜÉ½Ñã	64	95.3	159.3
²ÜºêîÈ	63.5	77.9	141.4
²ÜÐÄÓå	62.5	71.8	134.3
²Ü×¿È»	71	75.5	146.5
²Ü×Îâù	100	81.3	181.3
²Üæ«Æ½	64	85.4	149.4
²ÜºñŸj	20	87.2	107.2
²ÜÌìÈ½	60	65.9	125.9
²Ü¶«²©	21	75.5	96.5
²Ü¶«Ïþ	21	80.7	101.7
²ÜÐÄÃ¦	60	89.5	149.5
²ÜÖ¾Ãñ	21	72.3	93.3
²ÜÒÒÈ»	95	96.7	191.7
²Üµ¡º­	20	87.2	107.2
²ÜÑÓÕ×	76	86.3	162.3
²ÜÎ´³Ù	62	92.6	154.6
²Üè¤éD	88	90.8	178.8
²ÜÏªéÅ	22.5	79.9	102.4
²Ü×¿È½	61	88.0	149.0
²ÜÖ¾Ãô	23.5	78.7	102.2
²ÜÖÙ¾°	24.5	81.7	106.2
²ÜÌìÈ»	74	78.8	152.8
²ÜÎõÔÀ	20	75.0	95.0
²ÜÆí²©	20	87.2	107.2
²ÜÔÆ·æ	62.5	78.1	140.6
²ÜÇ¬Ãû	22.5	79.8	102.3
²ÜÎõÔ¿	62.5	86.2	148.7
²Ü·çÇÛ	20	76.7	96.7
²ÜÍñÇå	60	94.5	154.5
²ÜÖ¾Ãú	71	87.1	158.1
²Üî¸Âå	60	96.4	156.4
²ÜÐ¢È½	21	72.3	93.3
²ÜÎ©È»	95	81.4	176.4
²ÜÎýä¿	64.5	72.6	137.1
²Ü³¿Ñô	97.5	79.9	177.4
²ÜÄ®ä¸	26	78.7	104.7
²ÜÜ°Ü²	95	85.9	180.9
²ÜÀ´Ê¤	71	75.5	146.5
²ÜÇåÁÖ	20	69.5	89.5
²Ü³¿Ñó	60	96.4	156.4
²Üì¿È»	74	95.3	169.3
²ÜÇáº­	24	85.0	109.0
²ÜÔÆÁ¼	20	75.9	95.9
²Ü°ð²©	20	94.5	114.5
²ÜÈ½Ý»	22	84.6	106.6
²Ü¶¬Ã·	26	81.5	107.5
²ÜÁ¦²©	20	84.9	104.9
²ÜÔÆÁØ	22.5	72.3	94.8
²Ü³¿ÑÞ	99	95.8	194.8
²Ü¼Ò¼Î	20	74.1	94.1
²ÜóäÁ«	20	97.7	117.7
²ÜÕ¹ÌÃ	75	86.7	161.7
²Ü½¹È»	70	81.4	151.4
²ÜÒÕö©	20	87.1	107.1
²Ü»ªÓñ	20	81.4	101.4
²Üº£Í®	22.5	80.9	103.4
²Üæµ²©	64.5	84.7	149.2
²ÜËØÇ¿	60	86.7	146.7
²ÜÐËº­	24.5	84.7	109.2
²ÜÒÇ²©	24.5	84.7	109.2
²ÜÍòË¶	62	85.8	147.8
²ÜÜ°ÜÛ	60	89.3	149.3
²ÜÔÆÁÖ	20	69.5	89.5
²Üá×²©	64.5	84.7	149.2
²Ü¶¬¾Õ	22	82.0	104.0
²Ü²©ÎÂ	64	76.8	140.8
²Ü²©Îý	62.5	72.3	134.8
²Ü²©Îö	20	69.5	89.5
²ÜÅ²º­	20	94.5	114.5
²Ü²©ÎÅ	24	76.8	100.8
²Ü·¼Òä	62.5	81.6	144.1
²ÜÌÕÈ»	74.5	72.6	147.1
²Ü²©ÎÄ	24	78.1	102.1
²ÜÖ¦²©	21	75.5	96.5
²Ü¼ÎÆ½	20	81.4	101.4
²ÜÏþ»ª	22	67.6	89.6
²ÜÉñº­	60	82.2	142.2
²ÜÏþ»Ô	22	82.1	104.1
²ÜÒ»ÈÙ	64	94.6	158.6
²ÜÒ»È½	79	94.6	173.6
²Ü»ªÎ°	64	94.8	158.8
²Ü»ÍÈ»	74	95.3	169.3
